code_dep,nom_departement,code_insee,nom_commune,lot,fermeture_commerciale,fermeture_technique,code_oi,nom_oi
01,Ain,01006,Ambléon,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01011,Apremont,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01013,Arandas,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01019,Armix,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01023,Asnières-sur-Saône,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01035,Belleydoux,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01038,Bény,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01042,Bey,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01053,Bourg-en-Bresse,3,1/31/26,1/31/27,FRTE,Orange
01,Ain,01056,Boyeux-Saint-Jérôme,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01057,Boz,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01061,Brens,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01065,Buellas,2,1/27/25,1/27/26,FRTE,Orange
01,Ain,01077,Challes-la-Montagne,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01080,Champdor-Corcelles,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01083,Chaneins,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01094,Chavannes-sur-Reyssouze,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01100,Cheignieu-la-Balme,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01101,Chevillard,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01110,Colomieu,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01111,Conand,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01116,Contrevoz,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01117,Conzieu,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01128,Courtes,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01140,Curtafond,3,1/31/26,1/31/27,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01141,Cuzieu,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01148,Dortan,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01155,Évosges,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01156,Faramans,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01167,Garnerans,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01169,Genouilleux,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01170,Béard-Géovreissiat,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01177,Grand-Corent,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01191,Izenave,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01195,Jasseron,4_3,1/31/26,10/31/28,FRTE,Orange
01,Ain,01198,Joyeux,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01206,Lantenay,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01208,Lavours,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01219,Lompnas,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01227,Magnieu,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01228,Maillat,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01234,Marignieu,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01237,Martignat,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01241,Meillonnas,3,1/31/26,1/31/27,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01242,Mérignat,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01252,Mogneneins,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01260,Le Montellier,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01277,Nivollet-Montgriffon,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01279,Oncieu,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01280,Ordonnaz,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01293,Peyriat,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01296,Pirajoux,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01307,Port,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01310,Prémeyzel,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01319,Relevant,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01329,Rossillon,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01330,Ruffieu,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01331,Saint-Alban,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01335,Saint-André-le-Bouchoux,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01338,Groslée-Saint-Benoit,4_3,1/31/26,10/31/28,ISER/SIEA,Syndicat Intercommunal d’énergie et de e-communica/Isère Fibre
01,Ain,01339,Saint-Bernard,3,1/31/26,1/31/27,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01343,Saint-Cyr-sur-Menthon,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01356,Saint-Georges-sur-Renon,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01372,Saint-Martin-de-Bavel,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01396,Sault-Brénaz,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01400,Seillonnaz,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
01,Ain,01411,Souclin,4_3,1/31/26,10/31/28,SIEA,Syndicat Intercommunal d’énergie et de e-communica
